,latitude,longitude,availability_365,id,reviews,last_review
0,-22.96591903141144,-43.17896230586568,286,17878,15,2018-04-10
1,-22.977116804101872,-43.19045414722083,363,25026,16,2018-03-28
2,-22.98302369705461,-43.21427004586688,345,31560,41,2018-04-01
3,-22.988164695838663,-43.1935877232457,129,35636,23,2018-03-20
4,-22.981268983403904,-43.19045722266827,219,35764,29,2018-04-04
5,-22.96680789927568,-43.18657351368087,89,35893,0,2012-06-25
6,-22.9863327988552,-43.20256262652219,325,48305,6,2017-10-28
7,-22.983592667034543,-43.19381929721071,0,48726,11,2018-03-06
8,-22.964674754014865,-43.1744184568611,320,48901,1,2015-08-13
9,-22.97934047183976,-43.19112518175488,281,49179,5,2018-02-14
10,-22.985507029960672,-43.20409638380855,330,50294,12,2018-04-12
11,-23.00307495204619,-43.30911201234123,365,50759,0,2017-01-08
12,-22.981082418797453,-43.19077642991398,364,51703,15,2018-04-10
13,-22.981808499143884,-43.20207447846784,105,55002,0,2015-01-07
14,-22.930459638444702,-43.174499045394604,192,60718,0,2014-07-17
15,-22.986233139187803,-43.20352791940845,334,65546,7,2017-12-18
16,-22.982817069184243,-43.19571177528839,241,66797,45,2018-04-05
17,-22.984982857327967,-43.19135454377816,365,68422,0,2017-11-22
18,-22.98630130756574,-43.19707824115814,255,70080,50,2018-04-11
19,-22.98490375114116,-43.19538874348202,221,72900,1,2018-02-13
20,-22.985087803450085,-43.30055768107104,365,72999,0,2018-03-01
21,-22.98026529884033,-43.19254657523175,145,73581,1,2018-03-30
22,-22.981519259702555,-43.19018479326135,125,75148,6,2017-07-28
23,-22.982383750259697,-43.19366318041831,231,75585,4,2018-02-26
24,-22.98118716565726,-43.19372670447497,348,76245,7,2018-03-04
25,-22.928748692491084,-43.19341175995508,319,76300,23,2018-04-01
26,-22.976775053963973,-43.192082152445366,365,76496,0,2014-12-08
27,-22.91431201768764,-43.18884415499858,363,76961,5,2018-03-25
28,-22.9762875012061,-43.23145352664387,164,77318,6,2018-03-26
29,-22.925194298131007,-43.19118336151667,365,80145,0,2016-02-10
30,-22.96924906222345,-43.18283457669387,351,84008,0,2017-02-19
31,-22.9826973909695,-43.21908031793642,328,86670,9,2018-03-06
32,-22.88756433675867,-43.5941334568168,362,87202,5,2018-03-25
33,-22.98386039967817,-43.21383479718011,365,87762,3,2018-01-15
34,-22.94103019897892,-43.17617189796836,0,88393,0,2016-08-24
35,-22.97700229152734,-43.190410197540025,324,88528,11,2018-03-22
36,-22.97550267771828,-43.18864613001935,331,88781,11,2018-03-27
37,-22.98667861455319,-43.22171052846176,90,89454,0,2018-01-13
38,-22.975492395229985,-43.18836222258928,338,89862,4,2018-03-27
39,-22.982700395511625,-43.2003992517707,364,89981,5,2018-04-01
40,-22.95722818780707,-43.20437819030295,364,92107,0,2016-01-23
41,-23.01159086594512,-43.36925457556047,364,96431,3,2018-02-14
42,-22.94244516818134,-43.18762773875589,365,97636,0,2016-10-04
43,-22.915262728189973,-43.18148054665384,89,99547,5,2018-03-01
44,-22.98856948559512,-43.227161309628805,313,99971,19,2018-03-18
45,-23.00283181867819,-43.32842381255758,362,100118,7,2018-03-11
46,-22.96189008499989,-43.169725863465054,364,104002,0,2016-04-23
47,-23.008898126526315,-43.43049491016248,365,106372,1,2018-02-14
48,-22.91831324707884,-43.178501622245925,360,107469,1,2013-11-26
49,-22.98322043740515,-43.19087057989069,349,108072,12,2018-04-08
50,-22.98644570636902,-43.1972418760119,277,109747,14,2018-04-04
51,-22.915806722943746,-43.19181152048642,361,120145,0,2014-01-03
52,-22.902841108842694,-43.222474674972936,365,125115,0,2013-02-12
53,-22.97000440296209,-43.18822800527058,321,125656,4,2018-02-18
54,-22.892280332169868,-43.35647839203197,291,128727,0,2017-03-26
55,-22.969947020877687,-43.18878807659534,363,130501,0,2018-04-12
56,-22.936929183150728,-43.19098433088751,364,132114,1,2017-11-30
57,-22.915487712984508,-43.226262298050486,364,132909,0,2016-02-02
58,-22.91916456836233,-43.17930722892988,365,133221,4,2018-03-18
59,-22.919491198854505,-43.22557608265069,365,133575,0,2013-02-12
60,-22.98345232580772,-43.220198131807656,152,137002,0,2015-12-01
61,-22.980015225107746,-43.22371218359892,308,137048,9,2018-03-16
62,-22.98606274268977,-43.19513412350389,360,137343,2,2018-02-15
63,-22.9539422468228,-43.17405663652501,365,141434,1,2013-12-28
64,-22.98219611984617,-43.18960155583384,179,142688,12,2018-03-31
65,-22.960990589593308,-43.19933504993541,353,146402,7,2018-03-03
66,-22.80939938208928,-43.18193993470328,365,146510,0,2013-02-13
67,-23.017688899527556,-43.47226645273474,365,154075,3,2018-02-14
68,-22.96403035258751,-43.40828552299928,365,154370,0,2016-08-07
